nodenumber;    x-coordinate;    y-coordinate;    z-coordinate;skin-friction-coef
17;-2.088358249E-15;-7.492136955E-02;-3.099999949E-02; 1.652931571E-01
18; 1.411456848E-03;-7.477666438E-02;-3.099999949E-02; 1.578190625E-01
19; 2.820310416E-03;-7.467371970E-02;-3.099999949E-02; 1.265888512E-01
20; 4.224897362E-03;-7.458432764E-02;-3.099999949E-02; 8.803255856E-02
21; 5.624312907E-03;-7.448095828E-02;-3.100000136E-02; 6.650753319E-02
23; 7.017061114E-03;-7.433649153E-02;-3.099999949E-02; 5.784006044E-02
26; 8.401458152E-03;-7.413844764E-02;-3.099999949E-02; 5.569002032E-02
29; 9.782313369E-03;-7.392584532E-02;-3.099999949E-02; 5.387689173E-02
33; 1.116451994E-02;-7.372977585E-02;-3.099999949E-02; 5.024863034E-02
37; 1.254442427E-02;-7.351426780E-02;-3.099999949E-02; 4.835067317E-02
43; 1.391778886E-02;-7.324883342E-02;-3.099999763E-02; 4.915302619E-02
50; 1.529071201E-02;-7.296866924E-02;-3.099999949E-02; 4.946351051E-02
57; 1.666930132E-02;-7.270269841E-02;-3.099999763E-02; 4.808427393E-02
65; 1.804769412E-02;-7.241930813E-02;-3.099999949E-02; 4.735288769E-02
74; 1.941861585E-02;-7.209263742E-02;-3.099999949E-02; 4.886497185E-02
84; 2.078396454E-02;-7.174388319E-02;-3.099999949E-02; 5.080044270E-02
95; 2.214819193E-02;-7.140146196E-02;-3.099999949E-02; 5.087850243E-02
106; 2.351069450E-02;-7.107279450E-02;-3.099999763E-02; 4.936242849E-02
117; 2.486467175E-02;-7.073707134E-02;-3.099999949E-02; 4.850123078E-02
132; 2.620286494E-02;-7.037412375E-02;-3.099999949E-02; 4.983830079E-02
134; 2.636221610E-02;-7.032755017E-02;-3.099999949E-02; 5.012809858E-02
146; 2.752321959E-02;-6.998822838E-02;-3.099999949E-02; 5.223591998E-02
165; 2.882739529E-02;-6.959941983E-02;-3.099999949E-02; 5.400830507E-02
181; 3.011618927E-02;-6.922420114E-02;-3.099999949E-02; 5.428634584E-02
198; 3.138536587E-02;-6.885930151E-02;-3.099999949E-02; 5.340733379E-02
216; 3.262973577E-02;-6.849382073E-02;-3.099999949E-02; 5.332877859E-02
233; 3.384756669E-02;-6.811913848E-02;-3.099999949E-02; 5.469739437E-02
253; 3.504146263E-02;-6.773696095E-02;-3.099999949E-02; 5.678532645E-02
275; 3.621441498E-02;-6.735204160E-02;-3.099999949E-02; 5.892560631E-02
293; 3.736954182E-02;-6.696856022E-02;-3.099999949E-02; 6.086803228E-02
314; 3.850977123E-02;-6.659035385E-02;-3.099999763E-02; 6.221860647E-02
336; 3.963792324E-02;-6.622051448E-02;-3.099999949E-02; 6.270012259E-02
356; 4.075581953E-02;-6.585834175E-02;-3.099999949E-02; 6.255760789E-02
