nodenumber;    x-coordinate;    y-coordinate;    z-coordinate;skin-friction-coef
12;-2.940395255E-15;-7.492136955E-02; 3.099999949E-02; 1.650629193E-01
13; 1.408378128E-03;-7.477692515E-02; 3.099999949E-02; 1.579196751E-01
14; 2.814155538E-03;-7.467412204E-02; 3.099999949E-02; 1.268358976E-01
15; 4.215674009E-03;-7.458493114E-02; 3.099999763E-02; 8.817485720E-02
16; 5.612029228E-03;-7.448200881E-02; 3.099999949E-02; 6.654435396E-02
18; 7.001753896E-03;-7.433841377E-02; 3.099999949E-02; 5.764093995E-02
21; 8.383127861E-03;-7.414127886E-02; 3.099999949E-02; 5.542732775E-02
24; 9.760861285E-03;-7.392900437E-02; 3.099999949E-02; 5.349154025E-02
28; 1.113992091E-02;-7.373327762E-02; 3.099999949E-02; 4.943995178E-02
32; 1.251680590E-02;-7.351910323E-02; 3.099999949E-02; 4.684992135E-02
38; 1.388711948E-02;-7.325511426E-02; 3.099999949E-02; 4.703348875E-02
45; 1.525677927E-02;-7.297537476E-02; 3.099999949E-02; 4.689888656E-02
52; 1.663208194E-02;-7.270990312E-02; 3.099999949E-02; 4.499191046E-02
60; 1.800734177E-02;-7.242826372E-02; 3.099999949E-02; 4.378932714E-02
69; 1.937533356E-02;-7.210347056E-02; 3.099999949E-02; 4.498953745E-02
79; 2.073756978E-02;-7.175579667E-02; 3.099999949E-02; 4.664412141E-02
90; 2.209856547E-02;-7.141357660E-02; 3.099999949E-02; 4.645038396E-02
101; 2.345799096E-02;-7.108552009E-02; 3.099999949E-02; 4.463617504E-02
112; 2.480920032E-02;-7.075132430E-02; 3.099999949E-02; 4.351438209E-02
127; 2.614491433E-02;-7.039057463E-02; 3.099999949E-02; 4.433228076E-02
140; 2.746279538E-02;-7.000621408E-02; 3.099999949E-02; 4.629810899E-02
152; 2.821119316E-02;-6.978303939E-02; 3.099999763E-02; 4.710510373E-02
159; 2.876448445E-02;-6.961805373E-02; 3.099999949E-02; 4.770278186E-02
175; 3.005089611E-02;-6.924299151E-02; 3.099999949E-02; 4.766481370E-02
191; 3.131802753E-02;-6.887876242E-02; 3.099999763E-02; 4.685721174E-02
209; 3.256065398E-02;-6.851451099E-02; 3.099999949E-02; 4.652900994E-02
227; 3.377679735E-02;-6.814137846E-02; 3.099999949E-02; 4.737210274E-02
