nodenumber;    x-coordinate;    y-coordinate;    z-coordinate;skin-friction-coef
267;-2.514376858E-15;-7.492136955E-02; 1.665334537E-16; 1.650734991E-01
268; 1.409917488E-03;-7.477679104E-02;-7.466388618E-11; 1.578287333E-01
269; 2.817232860E-03;-7.467392087E-02;-2.421074452E-11; 1.267315894E-01
270; 4.220285919E-03;-7.458462566E-02; 3.435046692E-11; 8.813333511E-02
271; 5.618170369E-03;-7.448148727E-02;-6.303713107E-11; 6.645831466E-02
273; 7.009407505E-03;-7.433745265E-02; 4.867145575E-11; 5.749588087E-02
276; 8.392293006E-03;-7.413986325E-02; 2.235278629E-11; 5.528134480E-02
279; 9.771587327E-03;-7.392741740E-02;-9.539385948E-11; 5.331984162E-02
283; 1.115221996E-02;-7.373152673E-02; 1.336485506E-10; 4.906692356E-02
287; 1.253061555E-02;-7.351668924E-02; 1.113499293E-10; 4.653302953E-02
293; 1.390245557E-02;-7.325197756E-02;-4.734052039E-11; 4.669744149E-02
300; 1.527374610E-02;-7.297201455E-02;-5.702130434E-11; 4.644198343E-02
307; 1.665069349E-02;-7.270630449E-02; 1.292771029E-10; 4.467004538E-02
315; 1.802752167E-02;-7.242379338E-02;-8.003271657E-11; 4.345045984E-02
324; 1.939697564E-02;-7.209805399E-02; 2.096575691E-11; 4.449596256E-02
334; 2.076076716E-02;-7.174984366E-02; 7.414507897E-11; 4.600957036E-02
345; 2.212337963E-02;-7.140751928E-02;-1.267451699E-10; 4.579396546E-02
356; 2.348434366E-02;-7.107915729E-02;-1.272400518E-10; 4.397187009E-02
367; 2.483693697E-02;-7.074420154E-02; 4.323069680E-11; 4.294957593E-02
382; 2.617389336E-02;-7.038234919E-02; 5.791295221E-11; 4.372501001E-02
395; 2.749300934E-02;-6.999722123E-02; 4.825591315E-11; 4.561663419E-02
413; 2.879593894E-02;-6.960873306E-02;-4.156247568E-11; 4.697605968E-02
428; 3.008354269E-02;-6.923359632E-02; 1.408359540E-12; 4.675993696E-02
444; 3.135169670E-02;-6.886903197E-02; 8.755814129E-11; 4.601678252E-02
461; 3.259519860E-02;-6.850416958E-02; 8.295061860E-11; 4.579525813E-02
478; 3.381218389E-02;-6.813026965E-02;-1.560428592E-10; 4.661747813E-02
497; 3.500515968E-02;-6.774875522E-02; 3.762934409E-11; 4.820335284E-02
517; 3.617717698E-02;-6.736435741E-02;-1.192163590E-10; 5.007240549E-02
536; 3.733126074E-02;-6.698130071E-02; 2.125312426E-11; 5.160427466E-02
556; 3.847038746E-02;-6.660336256E-02;-6.926097196E-11; 5.246617645E-02
577; 3.959735483E-02;-6.623373181E-02;-2.038980096E-12; 5.287017673E-02
597; 4.071403295E-02;-6.587182730E-02;-3.582090180E-11; 5.270073935E-02
617; 4.182187095E-02;-6.551484019E-02;-8.477463176E-11; 5.226330832E-02
638; 4.292240739E-02;-6.515999883E-02;-1.716356224E-10; 5.220187083E-02
659; 4.401723668E-02;-6.480460614E-02; 6.784151019E-11; 5.252092332E-02
683; 4.510785267E-02;-6.444603205E-02; 6.222319882E-11; 5.311505869E-02
708; 4.619586468E-02;-6.408272684E-02; 2.283839784E-12; 5.407665670E-02
731; 4.728343338E-02;-6.371497363E-02;-2.825979728E-11; 5.542652681E-02
754; 4.837257788E-02;-6.334330887E-02; 1.256469651E-10; 5.690283328E-02
780; 4.946387932E-02;-6.296875328E-02;-2.050654091E-11; 5.824105442E-02
810; 5.055750534E-02;-6.259250641E-02;-3.885704258E-11; 5.965134129E-02
835; 5.165363476E-02;-6.221571937E-02; 4.925997110E-11; 6.092008203E-02
864; 5.275219679E-02;-6.183918566E-02;-7.901175547E-11; 6.189909577E-02
891; 5.385313183E-02;-6.146340445E-02; 5.619325838E-11; 6.274798512E-02
919; 5.495635048E-02;-6.108887494E-02; 1.280676537E-10; 6.359148026E-02
948; 5.606175214E-02;-6.071610004E-02; 2.637638719E-11; 6.433843821E-02
981; 5.716927722E-02;-6.034557894E-02;-4.502909157E-11; 6.494143605E-02
1009; 5.827877671E-02;-5.997733772E-02; 5.736425224E-11; 6.532578915E-02
1039; 5.938987806E-02;-5.961057916E-02; 1.336189215E-10; 6.585192680E-02
1070; 6.050220504E-02;-5.924442410E-02; 2.963645995E-11; 6.679934263E-02
1100; 6.161540374E-02;-5.887794867E-02; 3.296739270E-11; 6.755246967E-02
1133; 6.272912771E-02;-5.851025134E-02;-5.472233777E-12; 6.882664561E-02
1163; 6.384298950E-02;-5.814041570E-02;-1.000899363E-10; 7.069125772E-02
1199; 6.495686620E-02;-5.776802450E-02;-5.660802382E-11; 7.268587500E-02
1233; 6.607126445E-02;-5.739443749E-02;-3.492722778E-11; 7.505065948E-02
1270; 6.718680263E-02;-5.702146143E-02; 4.586261926E-11; 7.712143660E-02
1302; 6.830411404E-02;-5.665092543E-02; 1.884520318E-12; 7.901319116E-02
1338; 6.942382455E-02;-5.628463253E-02;-6.515135653E-11; 8.044664562E-02
1372; 7.054655999E-02;-5.592443049E-02; 2.858355219E-11; 8.106809855E-02
1407; 7.167273015E-02;-5.557154492E-02; 3.997316367E-11; 8.122884482E-02
1444; 7.280221581E-02;-5.522446334E-02; 2.768124618E-11; 8.104040474E-02
1478; 7.393488288E-02;-5.488092452E-02; 5.020955179E-11; 8.104662597E-02
1514; 7.507054508E-02;-5.453866348E-02; 1.775800340E-11; 8.140821010E-02
1550; 7.620900869E-02;-5.419538543E-02; 6.764701299E-11; 8.242684603E-02
1584; 7.735005021E-02;-5.384877697E-02; 2.680353162E-11; 8.457955718E-02
1624; 7.849356532E-02;-5.349694192E-02;-1.012032055E-10; 8.744489402E-02
1663; 7.963997871E-02;-5.314127356E-02;-2.885222616E-11; 9.091544151E-02
1706; 8.078989387E-02;-5.278456584E-02; 4.365070805E-11; 9.444694966E-02
1747; 8.194407821E-02;-5.242964998E-02; 2.017116335E-11; 9.742287546E-02
1783; 8.310312033E-02;-5.207944289E-02; 1.261343807E-11; 9.956499934E-02
1824; 8.426744491E-02;-5.173696578E-02;-2.464278781E-11; 1.003246680E-01
1862; 8.543758094E-02;-5.140430853E-02;-8.409223318E-11; 1.000461876E-01
1900; 8.661308885E-02;-5.107931420E-02; 7.536115482E-11; 9.931433946E-02
1939; 8.779333532E-02;-5.075845122E-02;-9.695044767E-11; 9.898963571E-02
1978; 8.897760510E-02;-5.043811724E-02;-1.935845928E-11; 9.961441904E-02
2015; 9.016522020E-02;-5.011468008E-02;-1.130736477E-11; 1.016937718E-01
2060; 9.135572612E-02;-4.978516698E-02; 2.529509935E-11; 1.055039689E-01
2103; 9.254942834E-02;-4.945159703E-02; 3.907932311E-11; 1.099055856E-01
2146; 9.374704212E-02;-4.911799356E-02;-3.793959591E-11; 1.141805425E-01
2191; 9.494946152E-02;-4.878840223E-02;-2.267513954E-11; 1.173503771E-01
2230; 9.615738690E-02;-4.846699163E-02; 1.476070099E-10; 1.185774580E-01
2272; 9.737139940E-02;-4.815672338E-02;-2.216378470E-11; 1.182231158E-01
2314; 9.859101474E-02;-4.785514995E-02; 9.206996276E-12; 1.171598434E-01
2354; 9.981541336E-02;-4.755823687E-02; 3.706392138E-11; 1.165149286E-01
2395; 1.010440066E-01;-4.726184905E-02;-9.149148800E-11; 1.172773018E-01
2438; 1.022760123E-01;-4.696180671E-02; 4.219743999E-11; 1.200700849E-01
2480; 1.035107374E-01;-4.665546119E-02; 2.720405845E-11; 1.248172075E-01
2524; 1.047489792E-01;-4.634566233E-02; 7.430757398E-12; 1.300343722E-01
2569; 1.059913933E-01;-4.603671655E-02;-6.849880385E-11; 1.348807663E-01
2615; 1.072387397E-01;-4.573297501E-02; 5.085343258E-11; 1.382990927E-01
2656; 1.084917635E-01;-4.543883726E-02;-4.442668455E-12; 1.390989274E-01
2699; 1.097508222E-01;-4.515590891E-02;-1.958397333E-11; 1.382106245E-01
2741; 1.110152975E-01;-4.488091916E-02;-6.325051594E-11; 1.366756707E-01
2787; 1.122843474E-01;-4.461009428E-02; 8.161518683E-11; 1.360735744E-01
2826; 1.135574654E-01;-4.433951527E-02;-1.716032871E-11; 1.372307241E-01
2868; 1.148339659E-01;-4.406522587E-02;-3.635523826E-11; 1.404715031E-01
2911; 1.161132231E-01;-4.378465936E-02;-8.104056315E-11; 1.459791064E-01
2956; 1.173956543E-01;-4.350045323E-02;-5.781074924E-11; 1.522630751E-01
3006; 1.186819673E-01;-4.321656376E-02; 5.510438633E-11; 1.583580673E-01
3053; 1.199728027E-01;-4.293701425E-02;-4.594963299E-12; 1.625397354E-01
3096; 1.212687567E-01;-4.266592115E-02;-4.658118335E-11; 1.636845917E-01
3142; 1.225702241E-01;-4.240623116E-02;-2.841653995E-11; 1.628651172E-01
3185; 1.238768175E-01;-4.215562344E-02;-3.162523021E-11; 1.608913392E-01
3223; 1.251877993E-01;-4.191026837E-02; 4.935699072E-11; 1.597540975E-01
3265; 1.265025735E-01;-4.166626185E-02;-3.402211846E-11; 1.605181694E-01
