Velocity u.Gradient X [ s^-1 ], Velocity u.Gradient Y [ s^-1 ], Velocity u.Gradient Z [ s^-1 ], Velocity v [ m s^-1 ], Velocity v.Gradient X [ s^-1 ], Velocity v.Gradient Y [ s^-1 ], Velocity v.Gradient Z [ s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ], X [ m ], Y [ m ], Z [ m ]
-1.02076739e-01, -7.26392899e+01, 4.76525277e-02, 0.00000000e+00, -1.27671403e-03, 3.13364640e-02, 2.84468522e-03, 1.09190352e-01, 1.09181449e-01, 0.00000000e+00, 1.39457569e-03, 6.99999988e-01, 2.50000004e-02, 0.00000000e+00
-1.23079449e-01, -7.69862061e+01, 5.96693382e-02, -2.28280769e-05, -1.82266883e-03, 4.03808616e-02, 3.88343725e-03, 1.09186627e-01, 1.09177716e-01, 0.00000000e+00, 1.39444659e-03, 6.99999988e-01, 2.44949497e-02, 0.00000000e+00
-1.44120365e-01, -8.11881180e+01, 7.16752261e-02, -4.59057883e-05, -2.38307100e-03, 4.93352413e-02, 4.95228032e-03, null, null, null, null, 6.99999988e-01, 2.39898991e-02, 0.00000000e+00
-1.66928813e-01, -7.82648163e+01, 8.16693082e-02, -7.99112677e-05, -3.68340546e-03, 5.29615283e-02, 7.30443373e-03, null, null, null, null, 6.99999988e-01, 2.34848484e-02, 0.00000000e+00
-1.88261315e-01, -7.48646088e+01, 9.08338577e-02, -1.13538561e-04, -4.96407412e-03, 5.56455255e-02, 9.64446180e-03, null, null, null, null, 6.99999988e-01, 2.29797978e-02, 0.00000000e+00
-1.74276829e-01, -5.99915543e+01, 7.91756287e-02, -1.37016003e-04, -5.84209291e-03, 3.54080051e-02, 1.15624238e-02, null, null, null, null, 6.99999988e-01, 2.24747472e-02, 0.00000000e+00
-1.59291551e-01, -4.52701836e+01, 6.72322139e-02, -1.58723327e-04, -6.63883518e-03, 1.52720902e-02, 1.33945066e-02, null, null, null, null, 6.99999988e-01, 2.19696965e-02, 0.00000000e+00
-1.28927737e-01, -3.29109421e+01, 5.11223003e-02, -1.52233406e-04, -6.21920358e-03, -2.76356563e-03, 1.38889011e-02, null, null, null, null, 6.99999988e-01, 2.14646459e-02, 0.00000000e+00
-9.92905498e-02, -2.09917812e+01, 3.54956985e-02, -1.45180544e-04, -5.72003983e-03, -1.95567477e-02, 1.43314451e-02, null, null, null, null, 6.99999988e-01, 2.09595952e-02, 0.00000000e+00
-7.82682076e-02, -1.41346817e+01, 2.58599091e-02, -1.31833527e-04, -4.29188646e-03, -2.16418356e-02, 1.42019074e-02, null, null, null, null, 6.99999988e-01, 2.04545446e-02, 0.00000000e+00
-5.84613532e-02, -7.68076038e+00, 1.67591609e-02, -1.18699143e-04, -2.82647065e-03, -2.30269507e-02, 1.40654035e-02, null, null, null, null, 6.99999988e-01, 1.99494939e-02, 0.00000000e+00
-4.96871136e-02, -4.85926342e+00, 1.25488434e-02, -1.07809254e-04, -9.76376177e-04, -1.79549661e-02, 1.38526354e-02, null, null, null, null, 6.99999988e-01, 1.94444433e-02, 0.00000000e+00
-4.16161790e-02, -2.26527953e+00, 8.64426233e-03, -9.78318421e-05, 8.71236029e-04, -1.25787770e-02, 1.35817667e-02, null, null, null, null, 6.99999988e-01, 1.89393926e-02, 0.00000000e+00
-3.87072526e-02, -1.34132183e+00, 7.00413715e-03, -9.49449604e-05, 2.73041637e-03, -4.95187379e-03, 1.28747895e-02, null, null, null, null, 6.99999988e-01, 1.84343420e-02, 0.00000000e+00
-3.61340158e-02, -5.11681974e-01, 5.42952307e-03, -9.31264221e-05, 4.57731402e-03, 2.57494091e-03, 1.21354060e-02, null, null, null, null, 6.99999988e-01, 1.79292914e-02, 0.00000000e+00
-3.56150419e-02, -2.61965513e-01, 4.31022700e-03, -9.81026096e-05, 6.35805260e-03, 9.45915282e-03, 1.12054897e-02, null, null, null, null, 6.99999988e-01, 1.74242407e-02, 0.00000000e+00
-3.52435447e-02, -4.31768671e-02, 3.21744708e-03, -1.04019011e-04, 8.12683068e-03, 1.62239634e-02, 1.02840001e-02, null, null, null, null, 6.99999988e-01, 1.69191901e-02, 0.00000000e+00
-3.56267095e-02, 1.30810123e-02, 2.29139067e-03, -1.15087489e-04, 9.82557330e-03, 2.23502200e-02, 9.41107143e-03, null, null, null, null, 6.99999988e-01, 1.64141394e-02, 0.00000000e+00
-3.60472500e-02, 6.09797761e-02, 1.39388395e-03, -1.27203835e-04, 1.15170032e-02, 2.85393670e-02, 8.52511451e-03, null, null, null, null, 6.99999988e-01, 1.59090888e-02, 0.00000000e+00
-3.66244949e-02, 7.07327873e-02, 6.38512312e-04, -1.44245598e-04, 1.31543688e-02, 3.49895172e-02, 7.56972097e-03, null, null, null, null, 6.99999988e-01, 1.54040381e-02, 0.00000000e+00
-3.71507704e-02, 7.86580145e-02, -1.30447530e-04, -1.62750774e-04, 1.48151275e-02, 4.13078852e-02, 6.60280976e-03, null, null, null, null, 6.99999988e-01, 1.48989875e-02, 0.00000000e+00
-3.74751016e-02, 7.92708322e-02, -9.56737087e-04, -1.87197758e-04, 1.65398698e-02, 4.70898151e-02, 5.57702919e-03, null, null, null, null, 6.99999988e-01, 1.43939368e-02, 0.00000000e+00
-3.77853289e-02, 7.95670450e-02, -1.84174103e-03, -2.12481726e-04, 1.83225032e-02, 5.27064987e-02, 4.47661011e-03, null, null, null, null, 6.99999988e-01, 1.38888862e-02, 0.00000000e+00
-3.80583443e-02, 7.87720978e-02, -2.94381310e-03, -2.40825990e-04, 2.02849470e-02, 5.77474982e-02, 3.10112513e-03, null, null, null, null, 6.99999988e-01, 1.33838356e-02, 0.00000000e+00
-3.84119414e-02, 7.79099837e-02, -4.08984162e-03, -2.70504068e-04, 2.22918540e-02, 6.27902895e-02, 1.67307013e-03, null, null, null, null, 6.99999988e-01, 1.28787849e-02, 0.00000000e+00
