
[Name]
TestLine3

[Data]
Velocity u.Gradient X [ s^-1 ], Velocity u.Gradient Y [ s^-1 ], Velocity u.Gradient Z [ s^-1 ], Velocity v [ m s^-1 ], Velocity v.Gradient X [ s^-1 ], Velocity v.Gradient Y [ s^-1 ], Velocity v.Gradient Z [ s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ], X [ m ], Y [ m ], Z [ m ]
-5.93901515e-01, -1.15292587e+02, 5.11466551e+00, 0.00000000e+00, 1.12157658e-01, -2.22374725e+00, 4.21294165e+00, 3.33501756e-01, 3.33357424e-01, 0.00000000e+00, -9.81049705e-03, 1.00000000e+00, 2.50000004e-02, 0.00000000e+00
1.34907007e-01, -9.72387161e+01, 6.50434685e+00, -4.47094964e-04, -2.54126638e-02, -1.79711258e+00, 6.12307787e+00, 3.33534598e-01, 3.33389342e-01, 0.00000000e+00, -9.84228775e-03, 1.00000000e+00, 2.44949497e-02, 0.00000000e+00
8.68098795e-01, -7.89737854e+01, 7.89887571e+00, -8.68125411e-04, -1.64719537e-01, -1.34891272e+00, 8.05524254e+00, null, null, null, null, 1.00000000e+00, 2.39898991e-02, 0.00000000e+00
1.83245492e+00, -5.03908653e+01, 9.45926380e+00, -1.62442011e-04, -4.11296308e-01, 1.77767873e-01, 1.10250463e+01, null, null, null, null, 1.00000000e+00, 2.34848484e-02, 0.00000000e+00
2.74487448e+00, -2.27606125e+01, 1.09794636e+01, 4.57212329e-04, -6.47405267e-01, 1.65299177e+00, 1.38705511e+01, null, null, null, null, 1.00000000e+00, 2.29797978e-02, 0.00000000e+00
2.43367767e+00, -1.78674202e+01, 1.14396458e+01, -1.09373790e-03, -6.42146826e-01, 1.89281583e+00, 1.37174721e+01, null, null, null, null, 1.00000000e+00, 2.24747472e-02, 0.00000000e+00
2.06328964e+00, -1.37195196e+01, 1.18767633e+01, -2.55352911e-03, -6.19930685e-01, 2.04864192e+00, 1.33890285e+01, null, null, null, null, 1.00000000e+00, 2.19696965e-02, 0.00000000e+00
7.80453563e-01, -2.11093845e+01, 1.18709450e+01, -2.63237953e-03, -3.32046717e-01, 8.47458601e-01, 1.03369322e+01, null, null, null, null, 1.00000000e+00, 2.14646459e-02, 0.00000000e+00
-4.70163524e-01, -2.77380180e+01, 1.17137680e+01, -2.72944989e-03, -6.48701191e-02, -3.35112274e-01, 7.30519199e+00, null, null, null, null, 1.00000000e+00, 2.09595952e-02, 0.00000000e+00
-1.35986352e+00, -2.55875320e+01, 9.79284763e+00, -2.95465766e-03, -3.48158702e-02, -1.31319380e+00, 4.52731228e+00, null, null, null, null, 1.00000000e+00, 2.04545446e-02, 0.00000000e+00
-2.14025259e+00, -2.29228859e+01, 7.77043295e+00, -2.98806932e-03, -4.56941947e-02, -2.25300598e+00, 1.90587258e+00, null, null, null, null, 1.00000000e+00, 1.99494939e-02, 0.00000000e+00
-1.95653462e+00, -1.56845818e+01, 4.86628819e+00, -1.26673910e-03, -4.23965424e-01, -2.81728196e+00, 6.92060709e-01, null, null, null, null, 1.00000000e+00, 1.94444433e-02, 0.00000000e+00
-1.74350214e+00, -8.81476021e+00, 2.09882998e+00, 4.71780280e-04, -7.89231598e-01, -3.29133797e+00, -4.11658674e-01, null, null, null, null, 1.00000000e+00, 1.89393926e-02, 0.00000000e+00
-1.31473207e+00, -4.68252516e+00, 3.68672222e-01, 2.30052182e-03, -1.06633365e+00, -3.09775424e+00, -7.13519931e-01, null, null, null, null, 1.00000000e+00, 1.84343420e-02, 0.00000000e+00
-9.59599435e-01, -1.03819323e+00, -1.19643533e+00, 4.10052622e-03, -1.30127692e+00, -2.85441542e+00, -9.70135510e-01, null, null, null, null, 1.00000000e+00, 1.79292914e-02, 0.00000000e+00
-1.04092896e+00, -3.75564992e-01, -1.73370278e+00, 5.72066801e-03, -1.28977215e+00, -2.31767559e+00, -9.49078619e-01, null, null, null, null, 1.00000000e+00, 1.74242407e-02, 0.00000000e+00
-1.15264106e+00, 1.15299731e-01, -2.19197845e+00, 7.14334473e-03, -1.26425624e+00, -1.76425493e+00, -9.11519766e-01, null, null, null, null, 1.00000000e+00, 1.69191901e-02, 0.00000000e+00
-1.41431487e+00, -2.82340407e-01, -2.23130369e+00, 7.53703946e-03, -1.17169261e+00, -1.12703395e+00, -7.85418630e-01, null, null, null, null, 1.00000000e+00, 1.64141394e-02, 0.00000000e+00
-1.63285160e+00, -6.57982349e-01, -2.23431444e+00, 7.85424840e-03, -1.08358264e+00, -5.60688257e-01, -6.54610753e-01, null, null, null, null, 1.00000000e+00, 1.59090888e-02, 0.00000000e+00
-1.65441811e+00, -9.36987936e-01, -2.06925154e+00, 7.82479160e-03, -1.01502478e+00, -3.15752864e-01, -5.01396060e-01, null, null, null, null, 1.00000000e+00, 1.54040381e-02, 0.00000000e+00
-1.64546335e+00, -1.16280484e+00, -1.88198292e+00, 7.80113786e-03, -9.43807364e-01, -1.00474998e-01, -3.52903724e-01, null, null, null, null, 1.00000000e+00, 1.48989875e-02, 0.00000000e+00
-1.51503336e+00, -1.18230855e+00, -1.60447121e+00, 7.79789547e-03, -8.59768391e-01, -3.52267921e-03, -2.22751260e-01, null, null, null, null, 1.00000000e+00, 1.43939368e-02, 0.00000000e+00
-1.39531934e+00, -1.18675876e+00, -1.31614041e+00, 7.76161253e-03, -7.69807696e-01, 1.01538457e-01, -9.93857011e-02, null, null, null, null, 1.00000000e+00, 1.38888862e-02, 0.00000000e+00
-1.31274784e+00, -1.13777649e+00, -9.89566624e-01, 7.60895666e-03, -6.57516122e-01, 2.34314501e-01, 2.57980078e-04, null, null, null, null, 1.00000000e+00, 1.33838356e-02, 0.00000000e+00
-1.24257076e+00, -1.06870127e+00, -6.68444037e-01, 7.42655667e-03, -5.45866072e-01, 3.64187121e-01, 9.27428082e-02, null, null, null, null, 1.00000000e+00, 1.28787849e-02, 0.00000000e+00
-1.21070492e+00, -9.34859812e-01, -3.65179509e-01, 7.15061184e-03, -4.35510576e-01, 4.84621733e-01, 1.62580833e-01, null, null, null, null, 1.00000000e+00, 1.23737343e-02, 0.00000000e+00
-1.17850089e+00, -7.88226485e-01, -8.55726749e-02, 6.84329029e-03, -3.29467446e-01, 5.95402241e-01, 2.21712470e-01, null, null, null, null, 1.00000000e+00, 1.18686836e-02, 0.00000000e+00
-1.14494908e+00, -6.04911327e-01, 1.25814930e-01, 6.44796994e-03, -2.34971970e-01, 6.78712964e-01, 2.49956965e-01, null, null, null, null, 1.00000000e+00, 1.13636330e-02, 0.00000000e+00
-1.10354805e+00, -4.26785469e-01, 3.04969132e-01, 6.04580622e-03, -1.46780744e-01, 7.46083558e-01, 2.67123163e-01, null, null, null, null, 1.00000000e+00, 1.08585823e-02, 0.00000000e+00
-1.04192662e+00, -2.62242645e-01, 4.00351048e-01, 5.62704122e-03, -7.41943121e-02, 7.72576034e-01, 2.55294919e-01, null, null, null, null, 1.00000000e+00, 1.03535317e-02, 0.00000000e+00
-9.73636091e-01, -1.16809621e-01, 4.70633328e-01, 5.20953257e-03, -8.73085111e-03, 7.84750104e-01, 2.37507492e-01, null, null, null, null, 1.00000000e+00, 9.84848104e-03, 0.00000000e+00
-8.89945030e-01, -1.63868591e-02, 4.81781453e-01, 4.79589310e-03, 4.04933989e-02, 7.63620436e-01, 2.05473125e-01, null, null, null, null, 1.00000000e+00, 9.34343040e-03, 0.00000000e+00
-8.06077003e-01, 6.67662919e-02, 4.83010828e-01, 4.40069614e-03, 8.31958503e-02, 7.35433102e-01, 1.73160687e-01, null, null, null, null, 1.00000000e+00, 8.83837976e-03, 0.00000000e+00
-7.22022772e-01, 1.13032259e-01, 4.62948054e-01, 4.04511718e-03, 1.12224616e-01, 6.92395091e-01, 1.40111372e-01, null, null, null, null, 1.00000000e+00, 8.33332911e-03, 0.00000000e+00
-6.41613841e-01, 1.50350928e-01, 4.41803932e-01, 3.70139489e-03, 1.36638939e-01, 6.47944450e-01, 1.09376222e-01, null, null, null, null, 1.00000000e+00, 7.82827847e-03, 0.00000000e+00
-5.68428993e-01, 1.70336619e-01, 4.18547809e-01, 3.38092446e-03, 1.52188748e-01, 6.00851774e-01, 8.30840394e-02, null, null, null, null, 1.00000000e+00, 7.32322782e-03, 0.00000000e+00
-4.98699725e-01, 1.87331349e-01, 3.96027297e-01, 3.08207190e-03, 1.64889485e-01, 5.52828789e-01, 5.94957098e-02, null, null, null, null, 1.00000000e+00, 6.81817718e-03, 0.00000000e+00
-4.35195267e-01, 1.99057490e-01, 3.74839693e-01, 2.82176398e-03, 1.72557428e-01, 5.03214777e-01, 4.07020599e-02, null, null, null, null, 1.00000000e+00, 6.31312653e-03, 0.00000000e+00
-3.74442995e-01, 2.09217444e-01, 3.54429185e-01, 2.57691368e-03, 1.78906918e-01, 4.54571992e-01, 2.39308961e-02, null, null, null, null, 1.00000000e+00, 5.80807589e-03, 0.00000000e+00
-3.18231583e-01, 2.16823876e-01, 3.35308790e-01, 2.35736975e-03, 1.83121145e-01, 4.07543600e-01, 1.04560181e-02, null, null, null, null, 1.00000000e+00, 5.30302525e-03, 0.00000000e+00
-2.65356690e-01, 2.23721385e-01, 3.16888899e-01, 2.15944229e-03, 1.87315434e-01, 3.61529350e-01, -1.51475007e-03, null, null, null, null, 1.00000000e+00, 4.79797460e-03, 0.00000000e+00
-2.17520759e-01, 2.29569733e-01, 2.99540937e-01, 1.99394394e-03, 1.91501260e-01, 3.17053705e-01, -1.12371324e-02, null, null, null, null, 1.00000000e+00, 4.29292396e-03, 0.00000000e+00
-1.74281895e-01, 2.32637644e-01, 2.82638907e-01, 1.84396352e-03, 1.96671963e-01, 2.76469588e-01, -1.99043676e-02, null, null, null, null, 1.00000000e+00, 3.78787331e-03, 0.00000000e+00
-1.37401372e-01, 2.31867924e-01, 2.66367704e-01, 1.71543506e-03, 2.03206360e-01, 2.41259068e-01, -2.71179285e-02, null, null, null, null, 1.00000000e+00, 3.28282267e-03, 0.00000000e+00
-1.05873466e-01, 2.27769285e-01, 2.50073016e-01, 1.60215260e-03, 2.10899770e-01, 2.10880771e-01, -3.41911688e-02, null, null, null, null, 1.00000000e+00, 2.77777202e-03, 0.00000000e+00
-8.11556578e-02, 2.19452605e-01, 2.33759493e-01, 1.50828552e-03, 2.20064357e-01, 1.86641380e-01, -4.10895795e-02, null, null, null, null, 1.00000000e+00, 2.27272138e-03, 0.00000000e+00
