nodenumber;    x-coordinate;    y-coordinate;    z-coordinate;skin-friction-coef
13942; 3.000000119E-01;-9.581910446E-03; 6.517191231E-02; 4.594463110E-01
56; 3.000000119E-01;-9.575219825E-03;-6.517192721E-02; 4.599805474E-01
13943; 3.000000119E-01;-9.069235064E-03; 6.517191976E-02; 4.608368874E-01
57; 3.000000119E-01;-9.062437341E-03;-6.517192721E-02; 4.613657296E-01
13944; 3.000000119E-01;-8.546152152E-03; 6.517191976E-02; 4.622292519E-01
58; 3.000000119E-01;-8.539251052E-03;-6.517191976E-02; 4.626932740E-01
13945; 3.000000119E-01;-8.012450300E-03; 6.517191976E-02; 4.635769427E-01
59; 3.000000119E-01;-8.005452342E-03;-6.517191976E-02; 4.638922215E-01
13946; 3.000000119E-01;-7.467914838E-03; 6.517191231E-02; 4.649689198E-01
60; 3.000000119E-01;-7.460822351E-03;-6.517192721E-02; 4.650126100E-01
13957; 3.000000119E-01;-6.967238733E-04; 6.517191976E-02; 4.789431095E-01
13947; 3.000000119E-01;-6.912325043E-03; 6.517191976E-02; 4.665073156E-01
61; 3.000000119E-01;-6.905143615E-03;-6.517192721E-02; 4.663622975E-01
71; 3.000000119E-01;-6.890163058E-04;-6.517191976E-02; 4.772347212E-01
13948; 3.000000119E-01;-6.345456000E-03; 6.517191976E-02; 4.679059088E-01
62; 3.000000119E-01;-6.338190753E-03;-6.517192721E-02; 4.679170847E-01
13949; 3.000000119E-01;-5.767079536E-03; 6.517191976E-02; 4.690968394E-01
63; 3.000000119E-01;-5.759736523E-03;-6.517192721E-02; 4.693584442E-01
13950; 3.000000119E-01;-5.176961888E-03; 6.517191976E-02; 4.703513384E-01
64; 3.000000119E-01;-5.169546697E-03;-6.517192721E-02; 4.706415534E-01
13951; 3.000000119E-01;-4.574864171E-03; 6.517191976E-02; 4.716427326E-01
65; 3.000000119E-01;-4.567383323E-03;-6.517192721E-02; 4.717192948E-01
13952; 3.000000119E-01;-3.960542846E-03; 6.517191976E-02; 4.727943838E-01
66; 3.000000119E-01;-3.953004256E-03;-6.517192721E-02; 4.726860225E-01
13958; 3.000000119E-01;-3.670965270E-06; 6.517191976E-02; 4.797080159E-01
13953; 3.000000119E-01;-3.333750647E-03; 6.517191976E-02; 4.738141298E-01
67; 3.000000119E-01;-3.326161066E-03;-6.517192721E-02; 4.736721516E-01
13954; 3.000000119E-01;-2.694233553E-03; 6.517191976E-02; 4.749214649E-01
68; 3.000000119E-01;-2.686600899E-03;-6.517192721E-02; 4.747180343E-01
757; 3.000000119E-01;-2.630563267E-02;-5.886335298E-02; 3.208512664E-01
13311; 3.000000119E-01;-2.630563080E-02; 5.886684731E-02; 3.206774592E-01
866; 3.000000119E-01;-2.630563080E-02;-5.781191587E-02; 3.206359744E-01
991; 3.000000119E-01;-2.630563080E-02;-5.676048622E-02; 3.191482127E-01
13437; 3.000000119E-01;-2.630563080E-02; 5.991773680E-02; 3.188587427E-01
13095; 3.000000119E-01;-2.630563080E-02; 5.676506087E-02; 3.183878064E-01
1101; 3.000000119E-01;-2.630563080E-02;-5.570905656E-02; 3.174517155E-01
12983; 3.000000119E-01;-2.630563080E-02; 5.571416020E-02; 3.170914054E-01
1325; 3.000000119E-01;-2.630563080E-02;-5.360621959E-02; 3.140754700E-01
12763; 3.000000119E-01;-2.630563080E-02; 5.361234397E-02; 3.133265972E-01
533; 3.000000119E-01;-2.630563080E-02;-6.096623838E-02; 3.132353425E-01
13545; 3.000000119E-01;-2.630563080E-02; 6.096861884E-02; 3.132319450E-01
1441; 3.000000119E-01;-2.630563080E-02;-5.255480856E-02; 3.123203218E-01
12655; 3.000000119E-01;-2.630563080E-02; 5.256142840E-02; 3.118070960E-01
12429; 3.000000119E-01;-2.630563080E-02; 5.045958236E-02; 3.088110089E-01
12307; 3.000000119E-01;-2.630563080E-02; 4.940865189E-02; 3.075588942E-01
1780; 3.000000119E-01;-2.630563080E-02;-4.940060154E-02; 3.074394464E-01
11870; 3.000000119E-01;-2.630563080E-02; 4.520488158E-02; 3.021738827E-01
397; 3.000000119E-01;-2.630563080E-02;-6.201769039E-02; 2.991477251E-01
13660; 3.000000119E-01;-2.630563080E-02; 6.201949343E-02; 2.986670136E-01
10974; 3.000000119E-01;-2.630563080E-02; 3.679710999E-02; 2.951236367E-01
10862; 3.000000119E-01;-2.630563080E-02; 3.574611619E-02; 2.941858768E-01
269; 3.000000119E-01;-2.630563080E-02;-6.306914985E-02; 2.656116784E-01
13763; 3.000000119E-01;-2.630563080E-02; 6.307036430E-02; 2.646828592E-01
154; 3.000000119E-01;-2.630563080E-02;-6.412060559E-02; 1.829198599E-01
13875; 3.000000119E-01;-2.630563080E-02; 6.412123889E-02; 1.819124222E-01
1; 3.000000119E-01;-2.630562894E-02;-6.517207623E-02; 6.758529693E-02
13999; 3.000000119E-01;-2.630562894E-02; 6.517209113E-02; 6.712539494E-02
13200; 3.000000119E-01;-2.630562894E-02; 5.781595409E-02; 3.199762106E-01
638; 3.000000119E-01;-2.630562894E-02;-5.991479009E-02; 3.187751770E-01
1230; 3.000000119E-01;-2.630562894E-02;-5.465763435E-02; 3.158097267E-01
12869; 3.000000119E-01;-2.630562894E-02; 5.466324836E-02; 3.154178262E-01
1563; 3.000000119E-01;-2.630562894E-02;-5.150340125E-02; 3.105891347E-01
12534; 3.000000119E-01;-2.630562894E-02; 5.151050538E-02; 3.103856444E-01
1674; 3.000000119E-01;-2.630562894E-02;-5.045199394E-02; 3.088190556E-01
1898; 3.000000119E-01;-2.630562894E-02;-4.834920913E-02; 3.061138988E-01
12201; 3.000000119E-01;-2.630562894E-02; 4.835771397E-02; 3.061099648E-01
2013; 3.000000119E-01;-2.630562894E-02;-4.729782045E-02; 3.047222495E-01
12096; 3.000000119E-01;-2.630562894E-02; 4.730677232E-02; 3.047127724E-01
11973; 3.000000119E-01;-2.630562894E-02; 4.625583068E-02; 3.033818305E-01
2117; 3.000000119E-01;-2.630562894E-02;-4.624643922E-02; 3.032529354E-01
2234; 3.000000119E-01;-2.630562894E-02;-4.519506171E-02; 3.017159104E-01
11759; 3.000000119E-01;-2.630562894E-02; 4.415392503E-02; 3.009312749E-01
2349; 3.000000119E-01;-2.630562894E-02;-4.414369538E-02; 3.003119230E-01
2463; 3.000000119E-01;-2.630562894E-02;-4.309232533E-02; 2.997890711E-01
11641; 3.000000119E-01;-2.630562894E-02; 4.310296848E-02; 2.997116148E-01
2575; 3.000000119E-01;-2.630562894E-02;-4.204096645E-02; 2.993161678E-01
11533; 3.000000119E-01;-2.630562894E-02; 4.205200076E-02; 2.985230982E-01
2682; 3.000000119E-01;-2.630562894E-02;-4.098960757E-02; 2.982354164E-01
11304; 3.000000119E-01;-2.630562894E-02; 3.995006159E-02; 2.975567579E-01
2794; 3.000000119E-01;-2.630562894E-02;-3.993825614E-02; 2.969985902E-01
2907; 3.000000119E-01;-2.630562894E-02;-3.888690844E-02; 2.966061234E-01
11195; 3.000000119E-01;-2.630562894E-02; 3.889908269E-02; 2.963922918E-01
3020; 3.000000119E-01;-2.630562894E-02;-3.783556446E-02; 2.961543202E-01
3134; 3.000000119E-01;-2.630562894E-02;-3.678423166E-02; 2.949206829E-01
3246; 3.000000119E-01;-2.630562894E-02;-3.573289886E-02; 2.936842144E-01
